1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg,2m_90deg,2m_67deg,2m_45deg,2m_22deg,2m_0deg
0.746,0.859,0.706,0.703,0.71,3.655,3.657,3.661,3.656,1.966
0.835,0.714,0.864,0.866,0.859,3.656,3.66,3.661,3.656,1.961
0.71,0.859,0.706,0.704,0.706,3.655,3.66,3.662,3.656,1.962
0.819,0.713,0.864,0.861,0.859,3.655,3.656,3.661,3.656,1.961
0.722,0.86,0.706,0.707,0.706,3.656,3.66,3.661,3.656,1.961
0.802,0.713,0.864,0.862,0.863,3.656,3.661,3.662,3.656,1.961
0.757,0.861,0.706,0.703,0.705,3.656,3.66,3.661,3.656,1.961
0.78,0.712,0.864,0.866,0.863,3.655,3.66,3.661,3.656,1.961
0.77,0.861,0.705,0.704,0.7,3.655,3.657,3.661,3.656,1.961
0.772,0.713,0.864,0.861,0.868,3.655,3.657,3.661,3.656,1.962
0.805,0.86,0.706,0.708,0.696,3.656,3.656,3.661,3.656,1.965
0.74,0.713,0.863,0.861,0.873,3.656,3.66,3.661,3.656,1.962
