0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.386,0.37,0.37,0.366,0.283,0.366,0.371,0.36,0.402,0.535,0.691,0.685,0.684,0.683,0.683,0.591,0.689,0.641,1.335,1.332,1.319,1.315,1.104,1.315,1.318,1.326,1.305,4.566,2.554,2.292,2.496,2.577,2.53,2.043,3.019,3.056
0.386,0.355,0.37,0.366,0.363,0.367,0.371,0.359,0.377,0.687,0.689,0.534,0.532,0.638,0.682,0.689,0.691,0.697,1.336,1.21,1.318,1.315,1.315,1.315,1.304,1.316,1.215,5.005,2.582,2.309,2.577,2.577,2.504,2.59,3.305,3.223
0.386,0.37,0.37,0.366,0.364,0.312,0.369,0.28,0.402,0.688,0.689,0.607,0.557,0.683,0.682,0.621,0.689,0.696,1.335,1.312,1.319,1.088,1.316,1.295,1.171,1.172,1.33,3.053,2.58,2.292,2.13,2.504,2.58,2.59,3.304,3.307
0.386,0.362,0.37,0.366,0.334,0.286,0.371,0.359,0.4,0.687,0.69,0.687,0.532,0.682,0.682,0.689,0.691,0.697,1.336,1.33,1.111,1.315,1.293,1.211,1.318,1.327,1.241,2.959,2.154,2.339,2.011,2.576,2.579,2.543,3.021,3.283
0.386,0.37,0.37,0.366,0.364,0.326,0.369,0.359,0.401,0.688,0.599,0.685,0.683,0.684,0.683,0.688,0.689,0.696,1.335,1.33,1.319,1.315,1.315,1.315,1.193,1.214,1.109,2.827,2.578,2.578,2.178,2.395,2.294,2.465,3.143,3.022
0.386,0.37,0.37,0.364,0.363,0.366,0.371,0.359,0.403,0.687,0.69,0.686,0.684,0.681,0.682,0.689,0.691,0.697,1.157,1.149,1.319,1.278,1.315,1.315,1.067,1.326,1.33,2.763,2.58,2.076,2.576,2.272,2.311,2.304,3.184,3.306
0.386,0.37,0.37,0.366,0.364,0.365,0.369,0.359,0.402,0.535,0.689,0.685,0.683,0.683,0.683,0.688,0.689,0.696,1.323,1.33,1.32,1.153,1.207,1.315,1.318,1.326,1.331,2.764,2.58,2.289,2.222,2.576,2.579,2.591,3.062,3.216
0.386,0.37,0.358,0.364,0.364,0.366,0.371,0.359,0.402,0.687,0.691,0.685,0.684,0.681,0.681,0.686,0.691,0.697,1.336,1.33,1.164,1.314,1.08,1.315,1.318,1.116,1.293,3.049,2.579,2.575,2.578,2.318,2.578,2.589,2.942,3.106
0.386,0.37,0.37,0.366,0.293,0.353,0.371,0.359,0.401,0.688,0.689,0.686,0.682,0.683,0.683,0.688,0.689,0.695,1.083,1.124,1.311,1.145,1.315,1.158,1.318,1.274,1.2,2.765,2.296,2.574,2.578,2.576,2.232,2.589,3.309,2.989
0.386,0.287,0.368,0.364,0.364,0.366,0.371,0.281,0.402,0.687,0.69,0.685,0.532,0.657,0.681,0.686,0.69,0.697,1.335,1.33,1.319,1.315,1.108,1.315,1.318,1.326,1.035,3.051,2.583,2.574,2.136,2.29,2.396,2.589,2.995,3.163
0.388,0.37,0.37,0.366,0.363,0.366,0.371,0.359,0.402,0.688,0.689,0.686,0.659,0.683,0.683,0.688,0.689,0.695,1.128,1.33,1.319,1.315,1.261,1.107,1.054,1.301,1.194,2.933,2.297,2.287,2.578,2.291,2.556,2.312,3.156,3.307
0.385,0.37,0.339,0.364,0.365,0.366,0.371,0.361,0.402,0.599,0.689,0.685,0.684,0.683,0.615,0.687,0.691,0.697,1.335,1.33,1.319,1.315,1.21,1.114,1.182,1.183,1.33,3.051,2.295,2.573,2.17,2.409,2.579,2.588,3.306,2.938
0.3,0.368,0.368,0.366,0.364,0.366,0.371,0.361,0.312,0.688,0.691,0.686,0.684,0.681,0.531,0.689,0.689,0.629,1.335,1.33,1.319,1.315,1.282,1.315,1.317,1.314,1.33,2.766,2.582,2.574,2.578,2.578,2.308,2.332,2.905,3.116
0.386,0.287,0.367,0.363,0.364,0.366,0.37,0.362,0.401,0.687,0.594,0.64,0.683,0.683,0.682,0.687,0.69,0.697,1.334,1.33,1.32,1.134,1.149,1.167,1.195,1.326,1.33,4.429,2.583,2.573,2.577,2.579,2.579,2.388,3.306,3.307
0.388,0.368,0.368,0.364,0.364,0.366,0.371,0.361,0.381,0.688,0.69,0.687,0.684,0.572,0.683,0.688,0.665,0.696,1.201,1.139,1.32,1.315,1.314,1.048,1.318,1.327,1.331,4.792,2.48,2.372,2.577,2.577,2.579,2.378,3.233,2.736
0.386,0.287,0.293,0.364,0.363,0.366,0.369,0.362,0.401,0.687,0.689,0.668,0.682,0.683,0.634,0.576,0.691,0.697,1.336,1.33,1.32,1.164,1.314,1.315,1.318,1.326,1.123,4.664,2.577,2.575,2.245,2.575,2.579,2.584,3.306,3.083
0.388,0.368,0.368,0.365,0.364,0.366,0.371,0.361,0.4,0.688,0.69,0.685,0.684,0.594,0.682,0.688,0.69,0.695,1.336,1.25,1.319,1.032,1.314,1.315,1.318,1.326,1.331,4.544,2.522,2.576,2.578,2.363,2.296,2.15,2.735,3.021
0.362,0.37,0.368,0.365,0.333,0.366,0.371,0.362,0.402,0.687,0.689,0.687,0.683,0.683,0.68,0.687,0.689,0.697,1.336,1.33,1.32,1.315,1.315,1.166,1.283,1.326,1.33,4.433,2.399,2.576,2.292,2.346,2.341,2.033,3.304,2.736
0.386,0.356,0.368,0.364,0.364,0.366,0.371,0.36,0.4,0.688,0.689,0.66,0.684,0.62,0.53,0.689,0.537,0.625,1.279,1.09,1.319,1.315,1.079,1.051,1.318,1.122,1.33,4.867,2.276,2.29,2.151,2.394,2.579,2.584,2.738,3.309
