2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.606,2.6,2.379,2.304,2.587,2.304,2.024,2.33,2.54,1.348,1.236,1.342,1.335,1.334,1.107,1.076,1.072,1.355,0.588,0.685,0.682,0.559,0.674,0.674,0.677,0.682,0.684,1.391,0.278,0.359,0.353,0.353,0.357,0.339,0.374,0.973
2.605,2.164,2.223,2.304,2.302,2.588,2.447,2.172,2.43,1.348,1.343,1.342,1.334,1.335,1.336,1.342,1.348,1.355,0.686,0.687,0.531,0.677,0.527,0.676,0.679,0.683,0.685,1.39,0.278,0.358,0.354,0.354,0.355,0.362,0.289,0.878
2.478,2.599,2.593,2.304,2.587,2.49,2.308,2.59,2.538,1.348,1.342,1.342,1.334,1.335,1.266,1.342,1.081,1.355,0.685,0.678,0.681,0.675,0.536,0.658,0.677,0.681,0.684,1.156,0.323,0.359,0.354,0.354,0.357,0.362,0.372,0.969
2.301,2.6,2.488,2.435,2.07,2.589,2.592,2.427,2.429,1.348,1.284,1.273,1.335,1.335,1.336,1.342,1.348,1.264,0.687,0.547,0.683,0.677,0.673,0.676,0.528,0.683,0.685,1.39,0.358,0.358,0.354,0.354,0.355,0.362,0.372,0.935
2.323,2.314,2.327,2.333,2.2,2.589,2.58,2.59,2.539,1.291,1.247,1.342,1.307,1.087,1.336,1.342,1.347,1.355,0.684,0.687,0.682,0.676,0.673,0.674,0.58,0.642,0.684,1.391,0.358,0.359,0.354,0.355,0.357,0.362,0.373,0.984
2.612,2.065,2.593,2.589,2.301,2.304,2.592,2.398,2.094,1.347,1.343,1.342,1.206,1.229,1.336,1.153,1.347,1.114,0.685,0.57,0.683,0.677,0.674,0.528,0.679,0.683,0.685,1.39,0.358,0.359,0.353,0.354,0.334,0.362,0.372,0.979
2.612,2.438,2.312,2.511,2.587,2.44,2.288,2.249,2.542,1.294,1.343,1.341,1.335,1.335,1.336,1.342,1.348,1.246,0.685,0.687,0.682,0.676,0.673,0.674,0.539,0.681,0.683,1.292,0.358,0.359,0.276,0.354,0.357,0.362,0.373,0.985
2.614,2.6,2.594,2.304,2.302,2.564,2.14,2.589,2.428,1.147,1.102,1.283,1.196,1.335,1.336,1.341,1.348,1.315,0.569,0.685,0.683,0.677,0.674,0.537,0.677,0.532,0.546,1.33,0.357,0.359,0.353,0.354,0.355,0.36,0.372,0.988
2.615,2.601,2.594,2.589,2.429,2.486,2.592,2.588,2.543,1.346,1.343,1.143,1.335,1.335,1.112,1.342,1.11,1.231,0.685,0.687,0.682,0.676,0.673,0.676,0.679,0.683,0.686,1.39,0.358,0.358,0.355,0.354,0.357,0.362,0.373,0.823
2.372,2.539,2.507,2.588,2.301,2.588,2.131,2.588,2.375,1.244,1.094,1.342,1.335,1.335,1.336,1.341,1.348,1.355,0.683,0.614,0.681,0.527,0.674,0.553,0.678,0.682,0.684,1.349,0.357,0.359,0.355,0.353,0.355,0.361,0.372,0.992
